Name;student_ID;Age;Hours Studied;Final Grade;Gender
Ana Silva;2024001;18;12;7.8;Female
Bruno Costa;2024002;19;18; 8.3;Male
Carla Mendes;2024003;20;9;5.5;Female
Daniel Rocha;2024004;18;3;2.3;Male
Eduarda Lima;2024005;21;20;9.1;Female
Felipe Alves;2024006;19;17;6.5;Male
Gabriela Torres;2024007;20;8;9.8;Female
Henrique Nogueira;2024008;22;15;2.3;Male
Isabela Pires;2024009;18;12;7.8;Female
João Ribeiro;2024010;20;14; 6.9;Male
Karina Souza;2024011;19;2;9.4;Female
Lucas Martins;2024012;22;5;10;Male
Mariana Freitas;2024013;21;6;2.0;Female
Nicolas Araujo;2024014;18;16;8.9;Male
Olivia Barros;2024015;18;10;9.8;Male
Pedro Farias;2024016;19;19;5.0;Female
Renata Guedes;2024017;18;13;8.7;Male
Thiago Pinto;2024018;22;4;1.5;Female
Viviane Lopes;2024019;20;8;5.0;Male
